"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "HTML", "JavaScript", "XML", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 11, 30
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\api\discord-user.ts", "TypeScript", 0, 206, 0, 0, 0, 0, 0, 0, 0, 3, 30, 239
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\assembly\scanner.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\assembly\tsconfig.json", "JSON with Comments", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 29
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\index.html", "HTML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 36
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\package-lock.json", "JSON", 5445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5446
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\public\disc_viewer_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\scripts\embedWasm.mjs", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\App.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\achievements\AchievementBubble.tsx", "TypeScript JSX", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 7, 145
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\achievements\PersonalityBadge.tsx", "TypeScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 5, 63
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\achievements\achievements.ts", "TypeScript", 0, 730, 0, 0, 0, 0, 0, 0, 0, 0, 31, 761
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\achievements\computePersonality.ts", "TypeScript", 0, 462, 0, 0, 0, 0, 0, 0, 0, 0, 70, 532
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\AppWrapper.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 4, 67
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\Avatar.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\GlobalProcessingIndicator.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 12, 52
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\charts\HourlyChart.tsx", "TypeScript JSX", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 5, 94
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\charts\HourlyMoodChart.tsx", "TypeScript JSX", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 8, 108
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\charts\MonthlyChart.tsx", "TypeScript JSX", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 9, 116
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\charts\SentimentBar.tsx", "TypeScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 13, 112
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\displays\SelfDisplay.tsx", "TypeScript JSX", 0, 0, 0, 353, 0, 0, 0, 0, 0, 4, 33, 390
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\displays\SettingsDisplay.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 1, 9, 92
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\displays\WrappedDisplay.tsx", "TypeScript JSX", 0, 0, 0, 433, 0, 0, 0, 0, 0, 6, 30, 469
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\displays\topDisplays\TopChannels.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 6, 83
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\displays\topDisplays\TopDisplay.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 8, 82
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\displays\topDisplays\TopServers.tsx", "TypeScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 6, 79
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\displays\topDisplays\TopStreaks.tsx", "TypeScript JSX", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 10, 125
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\displays\topDisplays\TopUsers.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 6, 83
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\forms\TimeRangeSelector.tsx", "TypeScript JSX", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 8, 97
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\forms\UserComboBox.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 11, 112
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\search\Search.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\search\ServerSearch.tsx", "TypeScript JSX", 0, 0, 0, 271, 0, 0, 0, 0, 0, 0, 32, 303
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\search\UserSearch.tsx", "TypeScript JSX", 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 28, 369
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\stats\StaggeredStatGrid.tsx", "TypeScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\stats\Stat.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\text\MarqueeText.tsx", "TypeScript JSX", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 21, 143
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\wrapped\WrappedCardDef.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\wrapped\WrappedCards.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 9, 118
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\components\wrapped\cards\ActivityCard.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
